Articulo,Categoria,Unidad,Stock Actual,Stock Minimo,Stock Maximo
Arnes de Seguridad,Especifico,pieza,0,0,0
Arnes para Respirador Cara Completa 6897 3M,Respiradores,pieza,0,0,0
Bata,Ropa de Trabajo,pieza,0,0,0
Botas para Quimicos,Calzado,par,0,0,0
Cabezal LAMIRA,Proteccion Facial,pieza,0,0,0
Camisola 100% Algodon IPF No.36,Ropa de Trabajo,pieza,0,0,0
Camisola 100% Algodon IPF No.38,Ropa de Trabajo,pieza,0,0,0
Camisola 100% Algodon IPF No.40,Ropa de Trabajo,pieza,0,0,0
Camisola 100% Algodon IPF No.42,Ropa de Trabajo,pieza,0,0,0
Camisola 100% Algodon IPF No.44,Ropa de Trabajo,pieza,0,0,0
Camisola 100% Algodon IPF No.46,Ropa de Trabajo,pieza,0,0,0
Camisola de Mezclilla,Ropa de Trabajo,pieza,0,0,0
Capucha Mezclilla para Soldador MAT,Ropa de Trabajo,pieza,0,0,0
Careta de Alto Voltaje,Proteccion Facial,pieza,0,0,0
Careta de Esmerilado,Proteccion Facial,pieza,6,0,0
Careta de Soldador,Proteccion Facial,pieza,0,0,0
Casco de Seguridad,Cabeza,pieza,0,0,0
Chaleco Rescatista Lamira LG,Ropa de Trabajo,pieza,0,0,0
Filtro Polipropileno Vapores Organicos P100 2097 3M,Respiradores,pieza,0,0,0
Filtros para Polvos,Respiradores,pieza,0,0,0
Guante Carnaza Corto LAMIRA No.10,Guantes,par,0,0,0
Guante Carnaza Soldador con Kevlar LAMIRA No.10,Guantes,par,0,0,0
Guante HPPE Nitrilo Arenado Antiimpacto DuraFlex Gisa No.8,Guantes,par,0,0,0
Guante HPPE Nitrilo Arenado Antiimpacto DuraFlex Gisa No.9,Guantes,par,0,0,0
Guante HPPE Nitrilo Espumado Cortes A4 DuraFlex Gisa No.8,Guantes,par,0,0,0
Guante HPPE Nitrilo Espumado Cortes A4 DuraFlex Gisa No.9,Guantes,par,0,0,0
Guante Industrial contra Acidos 18 DermaCare No.8,Guantes,par,0,0,0
Guante Piel Argonero Lamira XL,Guantes,par,3,0,0
Guante Poliester Nitrilo Espumado Gisa No.10,Guantes,par,0,0,0
Guante Poliester Nitrilo Espumado Gisa No.6,Guantes,par,0,0,0
Guante Poliester Nitrilo Espumado Gisa No.7,Guantes,par,0,0,0
Guante Poliester Nitrilo Espumado Gisa No.8,Guantes,par,0,0,0
Guante Poliester Nitrilo Espumado Gisa No.9,Guantes,par,0,0,0
Guante Resistente al Calor ActivArmr Ansell No.10,Guantes,par,6,0,0
Guante Uso Domestico Economico DermaCare No.9,Guantes,par,0,0,0
Lente Policarbonato Antiimpacto LAMIRA,Proteccion Visual,pieza,1,0,0
Lente Policarbonato Sombra 3.0 Sargento Jyrsa,Proteccion Visual,pieza,0,0,0
Linea de Vida,Especifico,pieza,0,0,0
Mandil PVC Sanitario Jyrsa 70x110cm,Ropa de Trabajo,pieza,0,0,0
Manga 100% Algodon Gisa 18 pulgadas,Ropa de Trabajo,par,0,0,0
Manga 100% Kevlar con Orificio Pulgar Gisa 18 pulgadas,Ropa de Trabajo,pieza,0,0,0
Manga Carnaza LAMIRA Unitalla,Ropa de Trabajo,par,2,0,0
Mica Policarbonato para Protector Facial LAMIRA,Proteccion Facial,pieza,0,0,0
Orejera Premium Tipo Diadema SRR 31dB LAMIRA,Proteccion Auditiva,pieza,0,0,0
Overol,Ropa de Trabajo,pieza,0,0,0
Pantalon de Mezclilla,Ropa de Trabajo,pieza,0,0,0
Pechera Carnaza LAMIRA 50x80cm,Proteccion Corporal,pieza,0,0,0
Polainas,Calzado,par,1,0,0
Protector Facial Mica Clara con Suspension Infra,Proteccion Facial,pieza,0,0,0
Respirador Desechable N95 8210 3M,Respiradores,pieza,8,0,0
Respirador TPE Media Cara 6200 3M,Respiradores,pieza,0,0,0
Rodillera Profesional Rooster,Proteccion Corporal,par,0,0,0
Talonera Antiestatica Jyrsa Unitalla,Calzado,pieza,2,0,0
Tapon Auditivo Reutilizable con Cordon SNR 30dB Arca Safety,Proteccion Auditiva,par,18,0,0
